url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,label
https://open.spotify.com/track/76GlO5H5RT6g7y0gev86Nk,0.43,0.971,9,-3.845,1,0.0524,0.0271,2.16e-05,0.185,0.764,151.219,212000,4,0
https://open.spotify.com/track/3ZdJffjzJWFimSQyxgGIxN,0.531,0.752,1,-6.161,1,0.0305,0.0421,0.0,0.12,0.103,89.917,237800,4,0
https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX,0.698,0.454,1,-6.756,0,0.151,0.123,0.0,0.155,0.137,92.932,260640,4,0
https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8,0.692,0.521,10,-8.465,0,0.33,0.301,0.0,0.0565,0.463,100.45,292987,4,0
https://open.spotify.com/track/7AzlLxHn24DxjgQX73F9fU,0.652,0.631,6,-5.718,0,0.0893,0.524,0.000579,0.165,0.35,127.998,154424,4,0
https://open.spotify.com/track/03tqyYWC9Um2ZqU0ZN849H,0.76,0.595,1,-6.366,1,0.0391,0.00544,0.0,0.241,0.361,131.497,263773,4,0
https://open.spotify.com/track/7zLYKWcXnYeHHWidalz7rj,0.699,0.558,11,-7.622,1,0.0603,0.462,0.0,0.116,0.493,79.992,165000,4,0
https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct,0.912,0.412,7,-8.074,1,0.123,0.0165,0.0126,0.104,0.423,154.983,238614,4,0
https://open.spotify.com/track/7MTo8Z4bCecvMsxrSJCHNw,0.718,0.643,8,-6.939,0,0.216,0.0876,0.0,0.124,0.469,156.039,258006,4,0
https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo,0.699,0.713,9,-5.507,0,0.0594,0.04,3.11e-06,0.294,0.354,121.993,205920,4,0
https://open.spotify.com/track/1KGi9sZVMeszgZOWivFpxs,0.743,0.675,8,-4.267,0,0.0953,0.0251,0.000717,0.0685,0.59,92.909,214400,4,0
https://open.spotify.com/track/3kwgqoBqTwoAH4nT29TYrq,0.486,0.567,1,-6.456,1,0.0379,0.31,0.0,0.0949,0.154,93.68,211254,4,0
https://open.spotify.com/track/50I7FNN2rl2rWiNwGxS146,0.823,0.703,8,-2.691,1,0.298,0.0161,1.35e-06,0.294,0.26,178.043,194214,4,0
https://open.spotify.com/track/1vms08pCx138Xa2mstygP0,0.62,0.443,5,-7.984,1,0.028,0.355,0.0,0.108,0.339,141.984,196320,4,0
https://open.spotify.com/track/2BdNnwyzWAoq0PTEQ4q53M,0.718,0.643,8,-6.939,0,0.216,0.0876,0.0,0.124,0.469,156.039,258006,4,0
https://open.spotify.com/track/6IwKcFdiRQZOWeYNhUiWIv,0.644,0.548,1,-5.416,0,0.0286,0.0209,8.68e-06,0.134,0.166,90.042,253813,4,0
https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR,0.38,0.219,4,-13.273,0,0.0358,0.917,0.0104,0.0827,0.0517,73.537,242265,4,0
https://open.spotify.com/track/4SU9mnYWIdqNU4drmm5MGk,0.845,0.594,10,-6.742,1,0.172,0.0035,0.0,0.131,0.618,98.003,159192,4,0
https://open.spotify.com/track/5M8goiFYynmNxhueYW6grR,0.463,0.653,0,-5.515,1,0.0273,0.111,0.000136,0.172,0.233,143.912,194867,4,0
https://open.spotify.com/track/5XqDJFVCyRTm5J7cIfRmR1,0.499,0.612,4,-5.947,0,0.127,0.171,4.99e-05,0.0993,0.218,157.218,217801,4,0
https://open.spotify.com/track/4yokHrXHSukhHh4byNVlWB,0.441,0.283,0,-11.039,0,0.0744,0.738,0.0,0.156,0.389,76.026,204000,3,0
https://open.spotify.com/track/34oWbFBfGEElvgO0a5c9V4,0.943,0.595,5,-8.372,0,0.191,0.0673,0.0,0.0839,0.815,117.532,165291,4,0
https://open.spotify.com/track/4UiogCfzKQW98U1GTCivsn,0.678,0.685,10,-9.439,1,0.0472,0.384,0.736,0.099,0.637,173.104,166883,4,0
https://open.spotify.com/track/7Ie9W94M7OjPoZVV216Xus,0.855,0.954,0,-1.19,0,0.264,0.529,0.0,0.205,0.668,114.635,248133,5,0
https://open.spotify.com/track/7qfoq1JFKBUEIvhqOHzuqX,0.77,0.482,6,-9.529,1,0.351,0.211,0.0,0.223,0.441,91.994,385438,4,0
https://open.spotify.com/track/2DQ1ITjI0YoLFzuADN1ZBW,0.838,0.771,1,-3.791,1,0.244,0.0117,0.0,0.0853,0.405,175.957,245387,4,0
https://open.spotify.com/track/0v9Wz8o0BT8DU38R4ddjeH,0.652,0.795,11,-5.192,0,0.174,0.156,0.0,0.123,0.788,135.018,304607,4,0
https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P,0.806,0.786,10,-3.831,0,0.0741,0.145,0.0,0.0935,0.58,91.973,309120,4,0
https://open.spotify.com/track/2u7mxWSeoqTXndK5e08jMp,0.745,0.646,6,-6.987,0,0.17,0.157,0.0,0.338,0.46,79.993,203908,4,0
https://open.spotify.com/track/6VN85VvNB8w1QbJCXW8rTC,0.693,0.558,9,-5.664,1,0.0366,0.169,0.0,0.0867,0.298,77.968,213949,4,0
https://open.spotify.com/track/2HrMDMckfCyM4OcZxXuiRn,0.412,0.657,6,-5.535,0,0.124,0.468,0.0,0.318,0.625,76.342,166688,4,0
https://open.spotify.com/track/6OaVWaGfhXn70ZJfdVcabn,0.731,0.811,1,-3.225,1,0.0712,0.0204,0.0,0.411,0.426,147.045,218284,4,0
